date,state,contact_method,age_group,gender,scam_category,scam_type,amount_lost,reports,year,month,month_name,source
2025-05-01,Tasmania,Online,Unspecified,Female,Buying or selling,Shopping scams,149.0,4,2025,5,May,NASC
2025-05-01,Tasmania,Online,Unspecified,Male,Buying or selling,Shopping scams,650.0,3,2025,5,May,NASC
2025-06-01,Tasmania,Online,Unspecified,Female,Buying or selling,Shopping scams,2000.0,4,2025,6,June,NASC
2025-06-01,Tasmania,Online,Unspecified,Male,Buying or selling,Shopping scams,170.0,4,2025,6,June,NASC
2025-06-01,Northern Territory,Online,Unspecified,Female,Buying or selling,Shopping scams,0.0,1,2025,6,June,NASC
2025-07-01,Northern Territory,Online,Unspecified,Female,Buying or selling,Shopping scams,55.0,2,2025,7,July,NASC
2025-07-01,Tasmania,Online,Unspecified,Female,Buying or selling,Shopping scams,0.0,2,2025,7,July,NASC
2025-07-01,Tasmania,Online,Unspecified,Male,Buying or selling,Shopping scams,90.0,2,2025,7,July,NASC
2025-07-01,Northern Territory,Online,Unspecified,X (Indeterminate/Intersex/Unspecified),Buying or selling,Shopping scams,0.0,2,2025,7,July,NASC
2025-08-01,Tasmania,Online,Unspecified,Female,Buying or selling,Shopping scams,614.0,3,2025,8,August,NASC
2025-08-01,Tasmania,Online,Unspecified,Male,Buying or selling,Shopping scams,137.99,2,2025,8,August,NASC
2025-01-01,Outside of Australia,Online,Unspecified,Male,Buying or selling,Shopping scams,615.0,5,2025,1,January,NASC
2025-02-01,Outside of Australia,Online,Unspecified,Male,Buying or selling,Shopping scams,332.65,5,2025,2,February,NASC
2025-02-01,Outside of Australia,Online,Unspecified,Female,Buying or selling,Shopping scams,100.1,4,2025,2,February,NASC
2025-02-01,Outside of Australia,Online,Unspecified,X (Indeterminate/Intersex/Unspecified),Buying or selling,Shopping scams,0.0,2,2025,2,February,NASC
2025-03-01,Outside of Australia,Online,Unspecified,Female,Buying or selling,Shopping scams,4117.0,3,2025,3,March,NASC
2025-03-01,Outside of Australia,Online,Unspecified,Male,Buying or selling,Shopping scams,0.0,1,2025,3,March,NASC
2025-04-01,Outside of Australia,Online,Unspecified,Male,Buying or selling,Shopping scams,1500.0,4,2025,4,April,NASC
2025-04-01,Outside of Australia,Online,Unspecified,Female,Buying or selling,Shopping scams,25.9,2,2025,4,April,NASC
2025-05-01,Outside of Australia,Online,Unspecified,Male,Buying or selling,Shopping scams,0.0,2,2025,5,May,NASC
2025-05-01,Outside of Australia,Online,Unspecified,Female,Buying or selling,Shopping scams,1221.62,5,2025,5,May,NASC
